Year,Player,Age,G,MP,PER,TS%,WS,VORP,FG%,FT%,TRB,AST,STL,BLK,PTS,PPG,RPG,APG,SPG,BPG
2018,Tarik Black\blackta01,26,51,535.5,14.3,0.5820000000000001,1.5,0.1,0.591,0.46,163.20000000000002,15.299999999999999,20.400000000000002,30.599999999999998,178.5,3.5,3.2,0.3,0.4,0.6
2018,Antonio Blakeney\blakean01,21,19,313.5,10.1,0.47100000000000003,0,-0.4,0.371,0.769,32.3,20.900000000000002,7.6000000000000005,1.9000000000000001,150.1,7.9,1.7,1.1,0.4,0.1
2018,Eric Bledsoe\bledser01,28,74,2323.6,19.7,0.5820000000000001,5.6,2.4,0.473,0.792,281.2,370,148,44.4,1309.8,17.7,3.8,5,2,0.6
2018,Eric Bledsoe\bledser01,28,3,83.1,13,0.509,0,-0.1,0.4,0.7859999999999999,6.8999999999999995,9,3.9000000000000004,2.0999999999999996,47.099999999999994,15.7,2.3,3,1.3,0.7
2018,Eric Bledsoe\bledser01,28,71,2236.5,20,0.585,5.7,2.5,0.47600000000000003,0.7929999999999999,276.9,362.09999999999997,142,42.6,1263.8,17.8,3.9,5.1,2,0.6
2018,Vander Blue\blueva01,25,5,45,-1.8,0.255,-0.1,-0.1,0.2,0.5,1,3,1,0,3,0.6,0.2,0.6,0.2,0
2018,Bogdan Bogdanovic\bogdabo01,25,78,2176.2,13.5,0.556,2.9,0.6,0.446,0.84,226.2,257.4,70.2,15.600000000000001,920.4000000000001,11.8,2.9,3.3,0.9,0.2
2018,Bojan Bogdanovic\bogdabo02,28,80,2464,13.9,0.605,5.4,0.8,0.474,0.868,272,120,56,8,1144,14.3,3.4,1.5,0.7,0.1
2018,Andrew Bogut\bogutan01,33,23,216.20000000000002,10.9,0.696,0.4,0.1,0.68,1,78.2,16.099999999999998,4.6000000000000005,13.799999999999999,36.800000000000004,1.6,3.4,0.7,0.2,0.6
2018,Joel Bolomboy\bolomjo01,24,6,37.8,11.7,0.521,0.1,-0.1,0.5,0.5,10.2,0,1.7999999999999998,0,9,1.5,1.7,0,0.3,0
2018,Devin Booker\bookede01,21,54,1863,18.1,0.561,2.4,1.2,0.43200000000000005,0.878,243,253.8,48.6,16.2,1344.6,24.9,4.5,4.7,0.9,0.3
2018,Trevor Booker\booketr01,30,68,1156,14.9,0.557,2.9,0.4,0.516,0.71,319.6,81.6,27.200000000000003,20.4,428.4,6.3,4.7,1.2,0.4,0.3
2018,Trevor Booker\booketr01,30,18,394.2,15.4,0.536,0.6,0.1,0.513,0.5579999999999999,118.8,37.800000000000004,7.2,5.3999999999999995,181.79999999999998,10.1,6.6,2.1,0.4,0.3
2018,Trevor Booker\booketr01,30,33,495,14.5,0.618,1.7,0.3,0.56,0.821,122.10000000000001,26.400000000000002,16.5,9.9,155.1,4.7,3.7,0.8,0.5,0.3
2018,Trevor Booker\booketr01,30,17,268.6,14.7,0.512,0.7,0,0.46399999999999997,0.909,76.5,17,3.4000000000000004,5.1,91.80000000000001,5.4,4.5,1,0.2,0.3
2018,Chris Boucher\bouchch01,25,1,1,-28.5,0,0,0,0,,1,0,0,0,0,0,1,0,0,0
2018,Avery Bradley\bradlav01,27,46,1435.2,9.6,0.496,-0.2,-0.8,0.414,0.768,115,92,50.6,9.200000000000001,657.8000000000001,14.3,2.5,2,1.1,0.2
2018,Avery Bradley\bradlav01,27,40,1268,9.7,0.49700000000000005,-0.2,-0.7,0.409,0.763,96,84,48,8,600,15,2.4,2.1,1.2,0.2
2018,Avery Bradley\bradlav01,27,6,165,9,0.49200000000000005,0,-0.1,0.473,1,22.200000000000003,10.8,4.800000000000001,1.2000000000000002,55.199999999999996,9.2,3.7,1.8,0.8,0.2
2018,Tony Bradley\bradlto01,20,9,28.8,9.5,0.337,0,-0.1,0.273,1,10.799999999999999,0.9,0,0,8.1,0.9,1.2,0.1,0,0
2018,Corey Brewer\breweco01,31,72,1209.6000000000001,11.2,0.534,2.3,0.4,0.449,0.722,151.20000000000002,64.8,79.2,14.4,381.59999999999997,5.3,2.1,0.9,1.1,0.2
2018,Corey Brewer\breweco01,31,54,696.6,8.9,0.509,0.7,-0.1,0.45299999999999996,0.667,91.8,43.2,43.2,5.4,199.8,3.7,1.7,0.8,0.8,0.1
2018,Corey Brewer\breweco01,31,18,514.8000000000001,14.2,0.565,1.6,0.5,0.444,0.795,61.199999999999996,23.400000000000002,37.800000000000004,5.3999999999999995,181.79999999999998,10.1,3.4,1.3,2.1,0.3
2018,Malcolm Brogdon\brogdma01,25,48,1435.1999999999998,14.3,0.578,2.7,0.2,0.485,0.882,158.39999999999998,153.60000000000002,43.2,14.399999999999999,624,13,3.3,3.2,0.9,0.3
2018,Aaron Brooks\brookaa01,33,32,188.8,9.8,0.508,0.1,-0.1,0.406,0.727,16,19.2,6.4,0,73.6,2.3,0.5,0.6,0.2,0
2018,Dillon Brooks\brookdi01,22,82,2353.4,9.8,0.531,1.2,-0.7,0.44,0.747,254.20000000000002,131.20000000000002,73.8,16.400000000000002,902,11,3.1,1.6,0.9,0.2
2018,MarShon Brooks\brookma01,29,7,193.20000000000002,26.1,0.629,0.7,0.3,0.5,0.87,21,25.2,11.200000000000001,2.8000000000000003,140.70000000000002,20.1,3,3.6,1.6,0.4
2018,Anthony Brown\brownan02,25,1,4,41.9,1.5,0,0,1,,0,1,0,0,3,3,0,1,0,0
2018,Bobby Brown\brownbo02,33,20,116,5.5,0.425,-0.2,-0.2,0.32799999999999996,0.5,8,12,4,0,50,2.5,0.4,0.6,0.2,0
2018,Jaylen Brown\brownja02,21,70,2149,13.6,0.562,4.5,1,0.465,0.644,343,112,70,28,1015,14.5,4.9,1.6,1,0.4
2018,Lorenzo Brown\brownlo01,27,14,138.6,8.2,0.45899999999999996,0.2,0,0.41200000000000003,1,15.400000000000002,12.6,5.6000000000000005,0,32.199999999999996,2.3,1.1,0.9,0.4,0
2018,Markel Brown\brownma02,26,4,31.2,-1.2,0.35700000000000004,0,-0.1,0.28600000000000003,,5.2,2,0,0,5.2,1.3,1.3,0.5,0,0
2018,Sterling Brown\brownst02,22,54,777.6,9.1,0.503,0.7,-0.4,0.4,0.875,140.4,27,32.4,10.8,216,4,2.6,0.5,0.6,0.2
2018,Nicolas Brussino\brussni01,24,4,10,-4.6,0,0,0,0,,3.2,0,0,0,0,0,0.8,0,0,0
2018,Thomas Bryant\bryanth01,20,15,72,9.9,0.441,0.1,0,0.381,0.556,16.5,6,1.5,1.5,22.5,1.5,1.1,0.4,0.1,0.1
2018,Reggie Bullock\bullore01,26,62,1729.8,13.6,0.615,4.2,1.2,0.489,0.7959999999999999,155,93,49.6,12.4,700.6,11.3,2.5,1.5,0.8,0.2
2018,Trey Burke\burketr01,25,36,784.8000000000001,21,0.563,2.4,0.6,0.503,0.649,72,169.20000000000002,25.2,3.6,460.8,12.8,2,4.7,0.7,0.1
2018,Alec Burks\burksal01,26,64,1056,13.1,0.527,1.9,-0.2,0.41100000000000003,0.863,192,64,38.4,6.4,492.8,7.7,3,1,0.6,0.1
