Year,Player,Age,G,MP,PER,TS%,WS,VORP,FG%,FT%,TRB,AST,STL,BLK,PTS,PPG,RPG,APG,SPG,BPG,MVP
1985,Billy Knight,32,52,611,12.2,0.501,0.3,-0.4,0.439,0.895,96,59,14,1,311,5.980769230769231,1.8461538461538463,1.1346153846153846,0.2692307692307692,0.019230769230769232,0
1985,Joe Kopicki,24,42,308,15.3,0.61,0.9,0.1,0.526,0.7959999999999999,86,29,13,1,145,3.4523809523809526,2.0476190476190474,0.6904761904761905,0.30952380952380953,0.023809523809523808,0
1985,Mitch Kupchak,30,58,716,12.5,0.539,1.4,-0.2,0.504,0.659,184,21,19,20,306,5.275862068965517,3.1724137931034484,0.3620689655172414,0.3275862068965517,0.3448275862068966,0
1985,Tom LaGarde,29,1,8,-5,0.266,0,0,0,0.5,2,0,0,0,1,1,2,0,0,0,0
1985,Bill Laimbeer,27,82,2892,18,0.5479999999999999,9.8,2.9,0.506,0.797,1013,154,69,71,1438,17.536585365853657,12.353658536585366,1.8780487804878048,0.8414634146341463,0.8658536585365854,0
1985,Allen Leavell,27,42,536,11.4,0.48700000000000004,0.6,-0.3,0.42100000000000004,0.772,37,102,23,4,228,5.428571428571429,0.8809523809523809,2.4285714285714284,0.5476190476190477,0.09523809523809523,0
1985,Ronnie Lester,26,32,278,11.9,0.465,0.2,-0.2,0.415,0.677,26,80,15,3,89,2.78125,0.8125,2.5,0.46875,0.09375,0
1985,Fat Lever,24,82,2559,16.7,0.479,5.2,2.8,0.43,0.77,411,613,202,30,1051,12.817073170731707,5.012195121951219,7.475609756097561,2.4634146341463414,0.36585365853658536,0
1985,Cliff Levingston,24,74,2017,14.6,0.56,4.7,2.1,0.527,0.653,566,104,70,69,727,9.824324324324325,7.648648648648648,1.4054054054054055,0.9459459459459459,0.9324324324324325,0
1985,Alton Lister,26,81,2091,15,0.5589999999999999,5.3,2.2,0.5379999999999999,0.588,647,127,49,167,798,9.851851851851851,7.987654320987654,1.5679012345679013,0.6049382716049383,2.0617283950617282,0
1985,Lewis Lloyd,25,82,2128,15.2,0.5579999999999999,4.7,1.1,0.526,0.732,231,280,73,28,1077,13.134146341463415,2.817073170731707,3.4146341463414633,0.8902439024390244,0.34146341463414637,0
1985,John Long,28,66,1820,14.2,0.518,3.3,0.6,0.48700000000000004,0.862,190,130,71,14,973,14.742424242424242,2.878787878787879,1.9696969696969697,1.0757575757575757,0.21212121212121213,0
1985,Sidney Lowe,25,21,190,9.6,0.45899999999999996,0.3,-0.1,0.37,1,16,50,11,0,28,1.3333333333333333,0.7619047619047619,2.380952380952381,0.5238095238095238,0,0
1985,Sidney Lowe,25,6,31,2.2,0.28600000000000003,0,-0.1,0.28600000000000003,,1,8,0,0,4,0.6666666666666666,0.16666666666666666,1.3333333333333333,0,0,0
1985,Sidney Lowe,25,15,159,11,0.51,0.3,0,0.4,1,15,42,11,0,24,1.6,1,2.8,0.7333333333333333,0,0
1985,John Lucas,31,47,1158,17.4,0.5329999999999999,3.2,0.4,0.462,0.7979999999999999,85,318,62,2,536,11.404255319148936,1.8085106382978724,6.76595744680851,1.3191489361702127,0.0425531914893617,0
1985,Maurice Lucas,32,63,1670,15.1,0.517,2.5,0.3,0.47600000000000003,0.75,557,145,39,17,842,13.365079365079366,8.841269841269842,2.3015873015873014,0.6190476190476191,0.2698412698412698,0
1985,Kyle Macy,27,65,2018,13.8,0.555,4.6,1,0.485,0.907,179,380,85,3,714,10.984615384615385,2.753846153846154,5.846153846153846,1.3076923076923077,0.046153846153846156,0
1985,Rick Mahorn,26,77,2072,10.4,0.526,3.6,1.1,0.499,0.6829999999999999,608,121,59,104,483,6.2727272727272725,7.896103896103896,1.5714285714285714,0.7662337662337663,1.3506493506493507,0
1985,Jeff Malone,23,76,2613,15,0.5429999999999999,5.7,0.6,0.499,0.8440000000000001,206,184,52,9,1436,18.894736842105264,2.710526315789474,2.4210526315789473,0.6842105263157895,0.11842105263157894,0
1985,Moses Malone*,29,79,2957,22.5,0.5770000000000001,11.9,2.6,0.469,0.815,1031,130,67,123,1941,24.569620253164558,13.050632911392405,1.6455696202531647,0.8481012658227848,1.5569620253164558,0
1985,Pace Mannion,24,34,190,12.4,0.479,0.2,0,0.429,0.696,23,27,16,3,70,2.0588235294117645,0.6764705882352942,0.7941176470588235,0.47058823529411764,0.08823529411764706,0
1985,Wes Matthews,25,78,1523,11.9,0.523,1.6,-1,0.495,0.6940000000000001,67,354,73,12,443,5.67948717948718,0.8589743589743589,4.538461538461538,0.9358974358974359,0.15384615384615385,0
1985,Cedric Maxwell,29,57,1495,14.2,0.634,4.6,1,0.5329999999999999,0.831,242,102,36,15,633,11.105263157894736,4.245614035087719,1.7894736842105263,0.631578947368421,0.2631578947368421,0
1985,Bob McAdoo*,33,66,1254,15.4,0.5589999999999999,2.9,-0.1,0.52,0.753,295,67,18,53,690,10.454545454545455,4.46969696969697,1.0151515151515151,0.2727272727272727,0.803030303030303,0
1985,Tim McCormick,22,78,1584,14.7,0.606,3.8,0.2,0.557,0.715,398,78,18,33,726,9.307692307692308,5.102564102564102,1,0.23076923076923078,0.4230769230769231,0
1985,Rodney McCray,23,82,3001,15.5,0.5760000000000001,8.5,4.1,0.535,0.738,539,355,90,75,1183,14.426829268292684,6.573170731707317,4.329268292682927,1.0975609756097562,0.9146341463414634,0
